absolute_magnitude_h,diameter_min_km,diameter_max_km,relative_velocity_km_s,miss_distance_km,orbital_eccentricity,is_potentially_hazardous_asteroid,diameter_mean_km,id,name,date,orbiting_body
23.142344384136116,0.4984402516711277,0.9375356931795247,21.725140540349084,5741243.7629533075,0.5702585542176476,0,0.7179879724253262,NEO_00000,(902207) Beta 1981,2024-01-01,Earth
19.40084015236524,0.20937280711667924,0.7848916840252844,19.72902696570353,11137612.727280183,0.4700307481426762,0,0.49713224557098185,NEO_00001,(515769) Gamma 1950,2024-01-01,Earth
20.524369443440207,0.34194076611653323,0.5611273997912116,7.07443694031061,23439572.54305858,0.14229802760531574,0,0.45153408295387243,NEO_00002,(362199) Epsilon 1951,2024-01-01,Earth
27.504114840765588,0.17038564607886023,0.8937349824741796,9.862738485172986,12343981.506442633,0.4194398725842334,0,0.5320603142765199,NEO_00003,(442864) Zeta 2020,2024-01-01,Earth
25.723183917356394,0.11953411913701495,0.6984864131283958,2.2440591788734965,16265470.054778414,0.14287215485371724,0,0.40901026613270536,NEO_00004,(313299) Gamma 1958,2024-01-02,Earth
17.433195935666575,1.322736637050806,2.5782947318774263,17.699726025433083,1393458.7672454505,0.6454754826733858,1,1.9505156844641163,NEO_00005,(771253) Beta 1998,2024-01-02,Earth
16.576540281565837,0.1425021065677169,1.2235874735753995,39.436816254957954,2202200.811444738,0.6998443828169514,1,0.6830447900715582,NEO_00006,(720160) Alpha 2002,2024-01-02,Earth
19.996737821583597,0.043589484371243284,0.28765946292160227,12.601778463355519,26704795.889409006,0.42379825031732893,0,0.16562447364642277,NEO_00007,(768626) Delta 1989,2024-01-02,Earth
21.60190641411263,0.2689502370238134,0.6431388999368093,9.284613003861052,69272128.03658889,0.07507183687176784,0,0.45604456848031133,NEO_00008,(641228) Delta 1958,2024-01-03,Earth
26.90527280739895,0.02505780739141746,0.3491328770121752,11.425679656158636,2778102.314740229,0.07960678869965249,0,0.18709534220179633,NEO_00009,(722696) Zeta 1967,2024-01-03,Earth
20.372267917359945,0.0038735715885626636,0.3641399408873095,12.014572398323688,28124169.621598672,0.18673268653731845,0,0.18400675623793608,NEO_00010,(160107) Beta 1992,2024-01-03,Earth
18.516817211686078,0.4444852918546196,0.15269583631958128,4.535273062695288,34339479.56864312,0.11780607861442076,0,0.29859056408710044,NEO_00011,(643910) Alpha 1955,2024-01-03,Earth
18.365567750504205,0.8847146168462585,1.062885722300325,30.749913884588377,1959527.7689970247,0.5732369431487645,1,0.9738001695732917,NEO_00012,(246479) Zeta 1956,2024-01-04,Earth
22.271077886262564,0.006486918500581759,0.39220833420105394,15.994812706945659,56659888.658850335,0.451621944766487,0,0.19934762635081785,NEO_00013,(512111) Epsilon 1965,2024-01-04,Earth
25.771469159274368,0.34779596117714473,0.7980506658327947,6.529999890816398,11382586.699413825,0.5630141164831722,0,0.5729233135049697,NEO_00014,(317984) Gamma 1986,2024-01-04,Earth
21.642698610480753,0.47595408092619623,0.8482361629471389,24.160368866907326,44843590.62347178,0.15764195205480697,0,0.6620951219366675,NEO_00015,(886918) Gamma 1986,2024-01-04,Earth
23.843143119231,0.3548211992060073,0.985699287132848,19.216126780526345,35004551.332764894,0.4304106085265978,0,0.6702602431694277,NEO_00016,(103196) Alpha 2013,2024-01-05,Earth
25.12179221347536,0.03939964761297537,0.927033880275599,22.365160063268185,46474133.29912403,0.5840171372825402,0,0.48321676394428714,NEO_00017,(326009) Zeta 2011,2024-01-05,Earth
